cityName,contactTel,installmentStr,mileageStr,modelName,prepaidAmount,provinceName,seriesId,seriesImg,seriesName,shopAddr,shopName
太原,,1598,2.51万公里,2017款  1.5L 自动智屏版,420000,山西,k3qYJf1zuE,http://img.souche.com/files/default/25e8b1f8611a63f2d2806ede885b2e78.jpg,荣威360,,
长春,,2898,1.29万公里,2016款  TSI330 DSG公商务版,970000,吉林,Vvqa6Cpe4N,http://img.souche.com/ab5545cbed9909ec298f766ff157bbbb.jpg,斯柯达速派,,
金华,,2798,1.67万公里,2014款    1.6L 率性版,800000,浙江,0wKeSfPizs,http://img.souche.com/c88985aef42749539c747b65c903bc23.jpg,英菲尼迪ESQ,,
上海,,2098,3.33万公里,2017款  280TSI DSG前行版,540000,上海,1i6z4GvpyY,http://img.souche.com/files/default/6264fa8fd353f347ac8d2528c484b20c.jpg,斯柯达野帝,,
青岛,,1998,2.74万公里,2018款  18T 自动精英型,560000,山东,r2cnMOWmpi,http://img.souche.com/files/default/4dea16dbed60c68ed3a49b9362fa998a.jpg,别克英朗,,
泉州,,1798,1.27万公里,2016款  1.6L 自动豪华型,410000,福建,BueqZC1TH4,http://img.souche.com/files/default/6c57cd0671af656ab6ecb483623ba944.jpg,东风风神风神A60,,
杭州,,2798,2.26万公里,2014款    1.6L 率性版,800000,浙江,X3MV144O9h,http://img.souche.com/files/default/d5d473c1e006b97a48b871243df41c55.jpg,英菲尼迪ESQ,,
合肥,,2098,2.56万公里,2017款  280TSI DSG前行版,540000,安徽,Q44eKEgimI,http://img.souche.com/d82700c69db1494e43a2cc97c767419d.jpg,斯柯达野帝,,
上海,,2798,2.37万公里,2014款    1.6L 率性版,800000,上海,3TMnWJbkdq,http://img.souche.com/files/default/6f009f3850a5294866c791cc7c26db43.jpg,英菲尼迪ESQ,,
大理,,2798,1.95万公里,2014款    1.6L 率性版,800000,云南,bpqW4Nfrey,http://img.souche.com/files/default/e90fde67e2c9eb608d213d8d6a09a71d.jpg,英菲尼迪ESQ,,
襄阳,,1998,4.18万公里,2017款  280TSI DSG前行版,540000,湖北,1awXRZ5Dso,http://img.souche.com/f3981945a7a2c2b01291464c84b729c1.jpg,斯柯达野帝,,
苏州,,2998,1.88万公里,2018款  1.6THP 自动领航版,920000,江苏,IngNggNvyf,http://img.souche.com/36d5f413faf0c866045cfd71d503b710.jpg,标致3008,,
长沙,,1898,1.70万公里,2018款  1.6L 自动智享型,730000,湖南,69KGKjDIgJ,http://img.souche.com/files/default/ac4d765875b1f407dcb8ee42011c2cb9.jpg,长安逸动DT,,
中山,,3798,0.51万公里,2017款  180T 自动劲能版,790000,广东,Yo44ohfIxO,http://img.souche.com/files/default/115a1de53beedad11dd4dee04f3c580d.jpg,Jeep自由侠,,
温州,,2698,2.51万公里,2016款  1.6THP 自动领航版,720000,浙江,zhaQ7q9K56,http://img.souche.com/files/default/5ade9928d610fdf09a25e608ec8d0442.jpg,标致3008,,
菏泽,,2398,1.68万公里,2017款  280TSI DSG前行版,540000,山东,MCs1v9HyuZ,http://img.souche.com/97f2627e8951215fc3ecd6222f997ad4.jpg,斯柯达野帝,,
合肥,,1998,1.31万公里,2017款  1.6L 自动舒适版,380000,安徽,ZT4SqbPSDd,http://img.souche.com/d04461a21050a780381e7a4f63252da2.jpg,标致301,,
吉安,,2398,2.28万公里,2017款  280TSI DSG前行版,540000,江西,Q7uG7ECAnj,http://img.souche.com/37e20e7540f7eac0809cd22d20b57e00.jpg,斯柯达野帝,,
唐山,,2298,0.86万公里,2018款  1.6L CVT智联精英版,450000,河北,vDMX25mpQi,http://img.souche.com/a60fa3c10773581fe9a94732aefc362e.jpg,启辰D60,,
佛山,,2198,3.01万公里,2017款  18T 自动两驱都市领先型,540000,广东,CbQxSRHzMN,http://img.souche.com/files/default/2fce84e12e612f603de7af850fd76584.jpg,别克昂科拉,,
惠州,,1798,0.86万公里,2017款  1.5L 自动智屏版,420000,广东,cwK8svjrZO,http://img.souche.com/116ec7c35727673b7007a86d6b7cfc32.jpg,荣威360,,
苏州,,3698,1.88万公里,2017款  180T 自动劲能版,790000,江苏,2AsLGRsnzR,http://img.souche.com/c43c9d525b941c29e62463a9826d85f6.jpg,Jeep自由侠,,
惠州,,2298,1.68万公里,2018款  1.6L CVT智联精英版,450000,广东,qv445GK9ad,http://img.souche.com/files/default/fe8e9ef1278d2b1bd15ec394e048e802.jpg,启辰D60,,
石家庄,,4698,0.70万公里,2014款    1.6T 时尚型,1640000,河北,C98OZUP4RU,http://img.souche.com/files/default/a5876dacae3640bc07fee79979185698.jpg,标致RCZ,,
合肥,,3698,1.61万公里,2017款  180T 自动劲能版,790000,安徽,LZgZG5Q8M1,http://img.souche.com/67fdddf4be1a46329c25149f053dc875.jpg,Jeep自由侠,,
南昌,,2398,2.16万公里,2017款  280TSI DSG前行版,540000,江西,uI44yR822D,http://img.souche.com/5d54394d3a7072222f462f128013f54c.jpg,斯柯达野帝,,
汕头,,2298,2.92万公里,2017款  280TSI DSG前行版,540000,广东,IIqqE56xBJ,http://img.souche.com/6fa9b4c658dbcf92924a71f598ecedef.jpg,斯柯达野帝,,
大理,,2398,1.13万公里,2017款  280TSI DSG前行版,540000,云南,rUqOybs1cQ,http://img.souche.com/files/default/b2f480837867900afd379c22fb78021e.jpg,斯柯达野帝,,
哈尔滨,,3698,1.33万公里,2017款  180T 自动劲能版,790000,黑龙江,e1cze08Kc4,http://img.souche.com/files/default/d6be24f8510f69bbf83d22b5fd674b40.jpg,Jeep自由侠,,
泉州,,2798,1.48万公里,2014款    1.6L 率性版,800000,福建,P5gvtmZJy1,http://img.souche.com/files/default/cbce474762f70e51820f81a8b92a6173.jpg,英菲尼迪ESQ,,
上海,,3698,0.85万公里,2017款  180T 自动劲能版,790000,上海,ZlcjoatNYM,http://img.souche.com/files/default/e0e44b9915e29b09a0419bed77deb564.jpg,Jeep自由侠,,
黄石,,2798,2.00万公里,2014款    1.6L 率性版,800000,湖北,WFqQZpQGVY,http://img.souche.com/files/default/5a80d6aba14b756f2cda655c430052c3.jpg,英菲尼迪ESQ,,
昆明,,2798,2.48万公里,2014款    1.6L 率性版,800000,云南,OzAzdOyi6O,http://img.souche.com/7abd4da60844842963f53a0041b365a9.jpg,英菲尼迪ESQ,,
武汉,,1798,3.00万公里,2018款  PLUS 1.5L 自动豪华版,420000,湖北,606ZPmaKko,http://img.souche.com/files/default/2b512e17639dfd863113148f52c2bd02.jpg,荣威360,,
汕头,,1998,0.69万公里,2016款  1.6L 自动GL,530000,广东,0maQf4JFqz,http://img.souche.com/357ea29353526018a47e57ba35183446.jpg,起亚K3,,
深圳,,1998,1.19万公里,2016款  1.6L 自动GL,530000,广东,Iea8als7Pg,http://img.souche.com/f5fd1f6757cfa6d71af71249639145f7.jpg,起亚K3,,
中山,,2098,2.97万公里,2018款  1.6L CVT智联精英版,450000,广东,A44ERWDXhE,http://img.souche.com/files/default/830777aee79b5bf8a87718204881b975.jpg,启辰D60,,
湛江,,4698,1.34万公里,2014款    1.6T 时尚型,1640000,广东,tKqK4QeE3d,http://img.souche.com/b61d6bc71165b128e1e6e30765135e00.jpg,标致RCZ,,
深圳,,2798,2.36万公里,2014款    1.6L 率性版,800000,广东,PsuGvQCitx,http://img.souche.com/files/default/419a82f20f77d4b9d0f8a2f061088f82.jpg,英菲尼迪ESQ,,
阜阳,,3398,4.77万公里,2017款  180T 自动劲能版,790000,安徽,2vKwl9yXYm,http://img.souche.com/files/default/0127ea1954fd1fac55c26c91dfc6774f.jpg,Jeep自由侠,,
